experiment_idx,name,description,overrides,status,val_bpb,num_params_M,num_steps,total_tokens_M,training_seconds,wall_time,timestamp,peak_vram_mb,mfu_percent,error,probe1_auc,probe1_dmean
72,r40_emb_lr_062_unemb_0028_warmdown70_wd010_matrixlr_020,Try slightly lower embedding LR (0.62) and unembedding LR (0.0028) to find sweet spot between r24 (best) and r26,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.62, ""UNEMBEDDING_LR"": 0.0028, ""SCALAR_LR"": 0.4}",OK,1.932733,7.3,247.0,8.1,301.2,7548.0,0.13,566.704540014267,2026-05-06T23:53:50.226702,,0.520109992,0.004678656957745608
73,r41_warmdown70_bs32k_depth5_ar52_best_combo,Try depth=5 with aspect_ratio=52 (model_dim=260) using best hyperparameter combo - same param count as depth=4 baseline but different depth/width tradeoff,"{""DEPTH"": 5, ""ASPECT_RATIO"": 52, ""DEVICE_BATCH_SIZE"": 16, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.979787,16.7,113.0,3.7,303.4,14885.0,0.12,758.1410799026489,2026-05-07T00:07:01.315129,,0.5218699994,0.003762685922384268
74,r42_emb_lr_065_unemb_003_warmdown70_wd010_scalar04_headdim128_ar68,"Try slightly wider model with AR=68 to increase capacity while keeping depth=4, with best known hyperparams","{""ASPECT_RATIO"": 68, ""DEVICE_BATCH_SIZE"": 16, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.65, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.95571,13.4,160.0,5.2,300.4,11805.0,0.15,694.6339201927185,2026-05-07T00:19:01.458285,,0.5242102276,0.007282361878752641
75,r43_emb_lr_065_unemb_003_warmdown70_wd010_scalar04_warmup5pct_matrixlr020_headdim128_ar64_depth4_bs32k_finallr0,"Try slightly higher EMBEDDING_LR of 0.67 with UNEMBEDDING_LR 0.003, SCALAR_LR 0.4, to fine-tune around the best configuration","{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.67, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.931221,7.3,246.0,8.1,300.9,7548.0,0.13,564.906964302063,2026-05-07T00:28:52.339525,,0.5202693046,0.004216097549796127
76,r44_emb_lr_064_unemb_003_warmdown70_wd010_scalar04_matrixlr_020_bs32k_warmup5pct_depth4_headdim128_ar64,Try slightly lower embedding LR (0.64) with all other best-combo settings to probe fine-grained optimum around 0.65,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.64, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.930003,7.3,246.0,8.1,300.6,7548.0,0.13,566.8094608783722,2026-05-07T00:38:44.434379,,0.5210274746,0.005256902385354034
77,r45_warmdown70_bs32k_depth4_ar64_matrixlr020_emb064_unemb003_scalar04_wd010_warmup5pct_sl_window,Try SL window pattern with best hyperparameter combo to see if alternating local/global attention helps,"{""WINDOW_PATTERN"": ""SL"", ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.64, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.930707,7.3,254.0,8.3,300.3,7802.0,0.12,577.2709290981293,2026-05-07T00:48:47.198858,,0.521374318,0.004358350274562772
78,r46_warmdown70_bs32k_depth4_ar64_matrixlr020_emb064_unemb003_scalar04_wd010_warmup5pct_headdim160,Try HEAD_DIM=160 to see if a different attention head size improves val_bpb,"{""HEAD_DIM"": 160, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.64, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.940576,10.2,212.0,6.9,300.5,9116.5,0.15,622.3251819610596,2026-05-07T00:59:36.833588,,0.5229355566,0.008399461620450022
79,r47_depth4_ar64_bs32k_warmdown70_matrixlr020_emb064_unemb003_scalar04_wd010_warmup5pct_depth3_ar96,Try depth=3 with larger aspect ratio (ar=96) to get similar param count but shallower model - may train faster and get more steps,"{""DEPTH"": 3, ""ASPECT_RATIO"": 96, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.64, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.93979,11.6,201.0,6.6,300.8,11259.0,0.15,632.1379220485687,2026-05-07T01:10:32.748254,,0.5226573784,0.00986441680550576
80,r48_depth4_ar64_bs32k_warmdown70_matrixlr020_emb064_unemb003_scalar04_wd010_warmup5pct_warmdown75_finallr005,Try slightly longer warmdown (75%) with small final LR fraction to see if better annealing improves over current best,"{""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.75, ""EMBEDDING_LR"": 0.64, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4, ""FINAL_LR_FRAC"": 0.005}",OK,1.930371,7.3,250.0,8.2,301.0,7546.0,0.13,578.206955909729,2026-05-07T01:20:36.913933,,0.5209414002,0.005390299333929982
81,r49_depth4_ar64_bs32k_warmdown70_matrixlr020_emb064_unemb003_scalar04_wd010_warmup5pct_depth2_ar128,Try depth=2 with wider aspect ratio=128 to get more capacity per layer with fewer layers,"{""DEPTH"": 2, ""ASPECT_RATIO"": 128, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.64, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.910971,4.7,481.0,15.8,300.8,4980.0,0.15,491.01391792297363,2026-05-07T01:29:08.413772,,0.5197862492,0.0031254054462910297
82,r50_depth2_ar128_bs32k_warmdown70_matrixlr020_emb064_unemb003_scalar04_wd010_warmup5pct_headdim128,Explore depth=2 ar=128 with slight variations: try higher warmdown ratio 0.75 to see if more cooldown helps this shallow wide model,"{""DEPTH"": 2, ""ASPECT_RATIO"": 128, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.75, ""EMBEDDING_LR"": 0.64, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.915959,4.7,413.0,13.5,300.4,4980.0,0.13,488.29967403411865,2026-05-07T01:37:37.012354,,0.5190757226,0.006176873700022734
83,r51_depth2_ar128_bs32k_warmdown70_matrixlr020_emb064_unemb003_scalar04_wd010_warmup5pct_longer,"Depth 2 AR128 with warmdown 0.70 instead of 0.75 to get more steps at peak LR, matching the best config r49","{""DEPTH"": 2, ""ASPECT_RATIO"": 128, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.64, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4, ""DEVICE_BATCH_SIZE"": 16}",OK,1.91809,4.7,404.0,13.2,300.4,4980.0,0.12,500.46472930908203,2026-05-07T01:46:18.647037,,0.5202415226,0.0034392244589328547
84,r52_depth2_ar128_bs32k_warmdown70_matrixlr020_emb064_unemb003_scalar04_wd010_warmup5pct_matrixlr018,Try slightly lower matrix LR with depth2 ar128 best config to see if it further improves,"{""DEPTH"": 2, ""ASPECT_RATIO"": 128, ""MATRIX_LR"": 0.018, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.64, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4}",OK,1.918338,4.7,405.0,13.3,300.5,4978.0,0.12,501.7076349258423,2026-05-07T01:55:00.110883,,0.5203445742,0.004186047266721671
85,r53_depth2_ar128_bs32k_warmdown70_matrixlr020_emb064_unemb003_scalar04_wd010_warmup5pct_finalfrac005,Test DEPTH=2 AR=128 with a small FINAL_LR_FRAC to see if a non-zero floor helps convergence,"{""DEPTH"": 2, ""ASPECT_RATIO"": 128, ""MATRIX_LR"": 0.02, ""WARMUP_RATIO"": 0.05, ""WEIGHT_DECAY"": 0.1, ""TOTAL_BATCH_SIZE"": 32768, ""WARMDOWN_RATIO"": 0.7, ""EMBEDDING_LR"": 0.64, ""UNEMBEDDING_LR"": 0.003, ""SCALAR_LR"": 0.4, ""FINAL_LR_FRAC"": 0.005}",OK,1.91815,4.7,404.0,13.2,300.6,5492.0,0.12,506.2340409755707,2026-05-07T02:03:47.118532,,0.5210956402,0.003992817027568818
